	premise	hypothesis	labels	preds	label	case
2532	But now you have heard it , and you will see that if there was a plot it was not against you . "	you will see that if there was a plot it was against you	2	2	contradiction	b: cue-removed
2533	But now you have heard it , and you will see that if there was a plot it was not against you . "	if there was a plot it was against you	2	2	contradiction	b: cue-removed
2535	He knew that I was here and that we could not refuse to help him .	we could refuse to help him	2	2	contradiction	a: within scope.
2538	Every day we hoped that he was gone , but as long as he was there we could not desert him .	we could desert him	2	2	contradiction	a: within scope.
2539	Every day we hoped that he was gone , but as long as he was there we could not desert him .	Every day we hoped that he was gone , but as long as he was there we could desert him .	2	2	contradiction	b: cue-removed
2541	Every day we hoped that he was gone , but as long as he was there we could not desert him .	as long as he was there we could desert him	2	2	contradiction	b: cue-removed
2543	That is the whole truth , as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me , for whose sake he has done all that he has . "	it does lie with my husband	2	2	contradiction	a: within scope.
2551	" Well , I can not blame you for standing by your own wife .	I can blame you for standing by your own wife	2	2	contradiction	a: within scope.
2552	" Well , I can not blame you for standing by your own wife .	` ` Well , I can blame you for standing by your own wife .	2	2	contradiction	b: cue-removed
2553	" Well , it can not be far if Barrymore had to carry out the food to it .	it can be far if Barrymore had to carry out the food to it	2	2	contradiction	a: within scope.
2555	" Well , it can not be far if Barrymore had to carry out the food to it .	` ` Well , it can be far if Barrymore had to carry out the food to it .	2	2	contradiction	b: cue-removed
2556	It was not as if the Barrymores had taken us into their confidence .	It was as if the Barrymores had taken us into their confidence	2	2	contradiction	a: within scope.
2558	It was not as if the Barrymores had taken us into their confidence .	It was as if the Barrymores had taken us into their confidence .	2	2	contradiction	b: cue-removed
2561	We were only doing our duty in taking this chance of putting him back where he could do no harm .	he could do harm	2	2	contradiction	a: within scope.
2564	I hesitated but could not escape the question .	I could escape the question	2	2	contradiction	a: within scope.
2565	I hesitated but could not escape the question .	I hesitated but could escape the question .	2	2	contradiction	b: cue-removed
2566	I am not a child .	I am a child	2	2	contradiction	a: within scope.
2568	I am not a child .	I am a child .	2	2	contradiction	b: cue-removed
2570	You need not fear to speak the truth . "	You need fear to speak the truth	2	2	contradiction	a: within scope.
2572	You need not fear to speak the truth . "	You need fear to speak the truth . "	2	2	contradiction	b: cue-removed
2574	You do not believe it , do you , Watson ? "	You do believe it	2	2	contradiction	a: within scope.
2575	I do not think that I am a coward , Watson , but that sound seemed to freeze my very blood .	I do think that I am a coward	2	2	contradiction	a: within scope.
2576	I do not think that I am a coward , Watson , but that sound seemed to freeze my very blood .	I am a coward	2	2	contradiction	a: within scope.
2577	I do not think that I am a coward , Watson , but that sound seemed to freeze my very blood .	I do think that I am a coward , Watson , but that sound seemed to freeze my very blood .	2	2	contradiction	b: cue-removed
2578	I do not think that I am a coward , Watson , but that sound seemed to freeze my very blood .	I do think that I am a coward , Watson	2	2	contradiction	b: cue-removed
2581	" I do not think I 'll get that cry out of my head .	I do think I 'll get that cry out of my head	2	2	contradiction	a: within scope.
2583	" I do not think I 'll get that cry out of my head .	` ` I do think I 'll get that cry out of my head .	2	2	contradiction	b: cue-removed
2585	" I do not think I 'll get that cry out of my head .	I 'll get that cry out of my head	2	2	contradiction	a: within scope.
2587	It may have been that Barrymore had some private signal which we had neglected to give , or the fellow may have had some other reason for thinking that all was not well , but I could read his fears upon his wicked face .	all was well	2	2	contradiction	a: within scope.
2591	It may have been that Barrymore had some private signal which we had neglected to give , or the fellow may have had some other reason for thinking that all was not well , but I could read his fears upon his wicked face .	the fellow may have had some other reason for thinking that all was well , but I could read his fears upon his wicked face	2	2	contradiction	b: cue-removed
2593	A lucky long shot of my revolver might have crippled him , but I had brought it only to defend myself if attacked and not to shoot an unarmed man who was running away .	I had brought it to shoot an unarmed man who was away	2	2	contradiction	a: within scope.
2598	We were both swift runners and in fairly good training , but we soon found that we had no chance of overtaking him .	we had chance of overtaking him	2	2	contradiction	a: within scope.
2599	We were both swift runners and in fairly good training , but we soon found that we had no chance of overtaking him .	We were both swift runners and in fairly good training , but we soon found that we had chance of overtaking him .	2	2	contradiction	b: cue-removed
2601	We were both swift runners and in fairly good training , but we soon found that we had no chance of overtaking him .	we soon found that we had chance of overtaking him	2	2	contradiction	b: cue-removed
2602	Do not think that it was a delusion , Holmes .	Do think that it was a delusion	2	2	contradiction	a: within scope.
2603	Do not think that it was a delusion , Holmes .	it was a delusion	2	2	contradiction	a: within scope.
2604	Do not think that it was a delusion , Holmes .	Do think that it was a delusion , Holmes .	2	2	contradiction	b: cue-removed
2606	I assure you that I have never in my life seen anything more clearly .	I have in my life seen anything more clearly	2	2	contradiction	a: within scope.
2607	I assure you that I have never in my life seen anything more clearly .	I assure you that I have in my life seen anything more clearly .	2	2	contradiction	b: cue-removed
2608	It was not the convict .	It was the convict	2	2	contradiction	a: within scope.
2610	It was not the convict .	It was the convict .	2	2	contradiction	b: cue-removed
2612	There was the sharp pinnacle of granite still cutting the lower edge of the moon , but its peak bore no trace of that silent and motionless figure .	There was the sharp pinnacle of granite still cutting the lower edge of the moon , but its peak bore trace of that silent and motionless figure .	2	2	contradiction	b: cue-removed
2614	There was the sharp pinnacle of granite still cutting the lower edge of the moon , but its peak bore no trace of that silent and motionless figure .	its peak bore trace of that silent and motionless figure	2	2	contradiction	b: cue-removed
2615	The baronet 's nerves were still quivering from that cry , which recalled the dark story of his family , and he was not in the mood for fresh adventures .	he was in the mood for fresh adventures	2	2	contradiction	a: within scope.
2616	The baronet 's nerves were still quivering from that cry , which recalled the dark story of his family , and he was not in the mood for fresh adventures .	The baronet 's nerves were still quivering from that cry , which recalled the dark story of his family , and he was in the mood for fresh adventures .	2	2	contradiction	b: cue-removed
2618	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me .	He had seen this lonely man upon the tor	2	2	contradiction	a: within scope.
2619	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me .	He had seen this lonely man upon the tor and could feel the thrill which his strange presence and his commanding attitude had given to me .	2	2	contradiction	b: cue-removed
2621	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me .	He could feel the thrill which his strange presence and his commanding attitude had given to me	2	2	contradiction	a: within scope.
2622	Today we mean to communicate to the Princetown people where they should look for their missing man , but it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner .	we have actually had the triumph of bringing him back as our own prisoner	2	2	contradiction	a: within scope.
2623	Today we mean to communicate to the Princetown people where they should look for their missing man , but it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner .	Today we mean to communicate to the Princetown people where they should look for their missing man , but it is hard lines that we have actually had the triumph of bringing him back as our own prisoner .	2	2	contradiction	b: cue-removed
2626	Today we mean to communicate to the Princetown people where they should look for their missing man , but it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner .	it is hard lines that we have actually had the triumph of bringing him back as our own prisoner	2	2	contradiction	b: cue-removed
2627	A spectral hound which leaves material footmarks and fills the air with its howling is surely not to be thought of .	A spectral hound which leaves material footmarks and fills the air with its howling is to be thought of	2	2	contradiction	a: within scope.
2629	A spectral hound which leaves material footmarks and fills the air with its howling is surely not to be thought of .	A spectral hound which leaves material footmarks and fills the air with its howling is surely to be thought of .	2	2	contradiction	b: cue-removed
2630	To do so would be to descend to the level of these poor peasants , who are not content with a mere fiend dog but must needs describe him with hell-fire shooting from his mouth and eyes .	To do so would be to descend to the level of these poor peasants , who are content with a mere fiend dog but must needs describe him with hell fire shooting from his mouth and eyes .	2	2	contradiction	b: cue-removed
2631	Holmes would not listen to such fancies , and I am his agent .	Holmes would listen to such fancies	2	2	contradiction	a: within scope.
2632	Holmes would not listen to such fancies , and I am his agent .	Holmes would listen to such fancies , and I am his agent .	2	2	contradiction	b: cue-removed
2634	But where could such a hound lie concealed , where did it get its food , where did it come from , how was it that no one saw it by day ?	one saw it by day	2	2	contradiction	a: within scope.
2636	He is no one whom I have seen down here , and I have now met all the neighbours .	He is one whom I have seen down here , and I have w met all the neighbours .	2	2	contradiction	b: cue-removed
2637	He is no one whom I have seen down here , and I have now met all the neighbours .	He is one whom I have seen down here	2	2	contradiction	b: cue-removed
2639	Barrymore it might possibly have been , but we had left him behind us , and I am certain that he could not have followed us .	he could have followed us	2	2	contradiction	a: within scope.
2642	Barrymore it might possibly have been , but we had left him behind us , and I am certain that he could not have followed us .	we had left him behind us , and I am certain that he could have followed us	2	2	contradiction	b: cue-removed
2644	Barrymore it might possibly have been , but we had left him behind us , and I am certain that he could not have followed us .	I am certain that he could have followed us	2	2	contradiction	b: cue-removed
2645	We have never shaken him off .	We have shaken him off	2	2	contradiction	a: within scope.
2647	We have never shaken him off .	We have shaken him off .	2	2	contradiction	b: cue-removed
2649	" If you had told us of your own free will it would have been a different thing , " said the baronet , " you only told us , or rather your wife only told us , when it was forced from you and you could not help yourself . "	you could help yourself	2	2	contradiction	a: within scope.
